Tweet,id,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements
ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non #viverra,1808209517384320,2020-06-30 08:42 +0000,792,37,0.046717172,1,0,16,2,0,7,8,0,0,0,0,0,0,196,3
augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae #turpis,2114235240833290,2020-06-30 08:36 +0000,117,3,0.025641026,0,0,3,0,0,0,0,0,0,0,0,0,0,20,0
arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in #eu,3311262268098050,2020-06-30 08:24 +0000,604,21,0.034768212,0,0,5,0,0,2,0,0,0,0,0,0,0,14,14
eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo #amet,763729051734539,2020-06-30 08:13 +0000,593,18,0.030354132,0,0,10,4,0,4,0,0,0,0,0,0,0,113,0
augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis #erat,2766933668367450,2020-06-30 01:36 +0000,657,3,0.00456621,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem #turpis,1951505405544420,2020-06-30 01:34 +0000,436,12,0.027522936,0,2,9,0,0,0,1,0,0,0,0,0,0,0,0
duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum #sapien,3063248263372960,2020-06-29 23:36 +0000,2685,19,0.00707635,0,3,4,0,0,0,12,0,0,0,0,0,0,0,0
nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla #vel,9844272566942880,2020-06-29 21:23 +0000,98,1,0.010204082,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra #potenti,681935023745685,2020-06-29 18:55 +0000,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit #rhoncus,1526132899531480,2020-06-29 18:12 +0000,345,14,0.04057971,0,1,0,2,9,0,2,0,0,0,0,0,0,0,0
pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla #ac,5875144880118300,2020-06-29 18:09 +0000,782,130,0.166240409,0,2,1,1,2,0,10,0,0,0,0,0,0,114,114
quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at #nisi,5290469557878100,2020-06-29 17:54 +0000,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi #nullam,3312261663686840,2020-06-29 17:54 +0000,250,1,0.004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam #elit,6317238359551280,2020-06-29 17:52 +0000,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id #blandit,2002971247095610,2020-06-29 17:52 +0000,280,5,0.017857143,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0
dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est #et,9203276667351800,2020-06-29 15:00 +0000,2739,50,0.018254838,3,1,10,3,0,0,11,0,0,0,0,0,0,820,22
potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum #sed,2949016450053900,2020-06-29 14:43 +0000,121,4,0.033057851,0,0,4,0,0,0,0,0,0,0,0,0,0,31,0
odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas #quis,9547121569966330,2020-06-29 13:46 +0000,234,2,0.008547009,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo #quis,495688839752043,2020-06-29 12:40 +0000,1195,41,0.034309623,4,0,8,2,9,1,8,0,0,0,0,0,0,9,9
mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas #volutpat,1793553645400030,2020-06-29 11:35 +0000,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit #vivamus,6066736417423050,2020-06-29 01:56 +0000,319,10,0.031347962,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0
quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci #tempor,716822335237892,2020-06-29 00:46 +0000,320,7,0.021875,0,1,1,1,0,0,4,0,0,0,0,0,0,0,0
lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in #aenean,8538568466185280,2020-06-28 22:42 +0000,134,8,0.059701493,0,1,5,0,0,0,2,0,0,0,0,0,0,0,0
posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id #eros,7324048451073410,2020-06-28 20:55 +0000,153,2,0.013071895,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in #sodales,2805951908443000,2020-06-28 17:47 +0000,1925,239,0.124155844,3,1,10,1,1,0,23,0,0,0,0,0,0,200,200
quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas #lacinia,6711825733201660,2020-06-28 15:44 +0000,257,1,0.003891051,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse #primis,9978158588228040,2020-06-28 15:30 +0000,325,6,0.018461538,0,0,4,0,0,0,0,0,0,0,0,0,0,73,2
felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis #a,6217315274047590,2020-06-28 15:19 +0000,765,11,0.014379085,0,1,5,1,0,0,4,0,0,0,0,0,0,110,0
curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna #vel,8231821074174750,2020-06-27 19:01 +0000,236,14,0.059322034,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0
sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl #orci,9570816565357870,2020-06-27 17:55 +0000,151,2,0.013245033,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum #nulla,380001636121211,2020-06-27 15:32 +0000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar #curabitur,4425374971252640,2020-06-27 15:05 +0000,287,12,0.041811847,0,0,5,0,0,0,6,0,0,0,0,0,0,38,1
dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes #placerat,8209924363611060,2020-06-27 14:16 +0000,22,2,0.090909091,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et #cras,3133980848542310,2020-06-27 01:31 +0000,2408,40,0.016611296,0,2,15,2,0,0,21,0,0,0,0,0,0,0,0
vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat #amet,2141257999420150,2020-06-26 21:43 +0000,551,1,0.001814882,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi #quam,9207988447294870,2020-06-26 21:42 +0000,225,8,0.035555556,0,1,3,0,0,0,4,0,0,0,0,0,0,0,0
metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id #non,8462521030797950,2020-06-26 21:35 +0000,171,5,0.029239766,0,1,1,0,0,0,1,0,0,0,0,0,0,47,2
maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper #sem,2528983238934750,2020-06-26 21:26 +0000,110,7,0.063636364,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0
nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque #velit,6888512031913890,2020-06-26 20:59 +0000,866,194,0.224018476,0,0,18,2,1,0,13,0,0,0,0,0,0,160,160
nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor #posuere,3651418391136910,2020-06-26 20:03 +0000,11496,1065,0.092640919,1,6,37,37,4,4,78,0,0,0,0,0,0,898,898
mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas #donec,5728100805173670,2020-06-26 19:32 +0000,1073,91,0.084808947,0,0,12,3,15,3,1,0,0,0,0,0,0,57,57
felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet #mi,8768676374555830,2020-06-26 18:46 +0000,276,4,0.014492754,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0
eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo #cum,342503103565497,2020-06-26 18:08 +0000,56,3,0.053571429,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non #a,2374509166209140,2020-06-26 17:51 +0000,131,4,0.030534351,0,0,1,0,0,0,0,0,0,0,0,0,0,27,3
donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce #vestibulum,9169608178925490,2020-06-26 17:35 +0000,161,4,0.02484472,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0
quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient #ante,3959150308916750,2020-06-26 14:38 +0000,316,8,0.025316456,0,1,2,1,0,0,4,0,0,0,0,0,0,0,0
etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla #quis,9090902954472740,2020-06-25 17:43 +0000,449,9,0.020044543,0,1,4,0,0,0,4,0,0,0,0,0,0,0,0
bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris #sed,4150238106296920,2020-06-25 16:55 +0000,1244,38,0.030546624,1,3,4,4,0,2,21,0,0,0,0,0,0,236,3
lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac #tempor,2338249630547120,2020-06-25 13:27 +0000,329,7,0.021276596,0,0,2,0,0,0,3,0,0,0,0,0,0,47,2
turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est #sit,2059973029050930,2020-06-25 13:25 +0000,381,18,0.047244094,0,0,1,1,14,0,2,0,0,0,0,0,0,0,0
proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere #neque,9765236752576140,2020-06-25 13:20 +0000,308,2,0.006493506,0,0,1,1,0,0,0,0,0,0,0,0,0,77,0
congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque #nec,6098054349056560,2020-06-24 20:49 +0000,117,3,0.025641026,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna #odio,1297180946707940,2020-06-24 19:51 +0000,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu #pellentesque,1160472257164250,2020-06-24 18:45 +0000,307,12,0.039087948,0,2,2,1,1,0,6,0,0,0,0,0,0,102,0
tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis #mauris,7715219037616160,2020-06-24 18:39 +0000,477,6,0.012578616,0,0,2,1,0,0,1,0,0,0,0,0,0,194,2
tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu #malesuada,783579603336683,2020-06-24 18:23 +0000,585,13,0.022222222,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0
ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat #tellus,3004967046773660,2020-06-24 18:23 +0000,1592,217,0.136306533,1,3,3,2,0,0,80,0,0,0,0,0,0,128,128
scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis #ligula,5606932223940940,2020-06-24 17:14 +0000,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien #suscipit,5033631152125020,2020-06-24 15:02 +0000,870,3,0.003448276,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus #elit,8961163071048110,2020-06-24 13:23 +0000,171,6,0.035087719,0,0,0,0,0,0,0,0,0,0,0,0,0,40,6
sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum #maecenas,6861972218938880,2020-06-24 12:00 +0000,537,9,0.016759777,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0
consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in #tortor,83386216392282,2020-06-23 17:23 +0000,206,2,0.009708738,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor #ipsum,463630243534553,2020-06-23 16:05 +0000,551,3,0.005444646,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus #ut,7866158222296520,2020-06-23 15:15 +0000,1140,14,0.012280702,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0
lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl #elit,5071207691715760,2020-06-23 15:14 +0000,197,4,0.020304569,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium #odio,4964673514032670,2020-06-23 14:50 +0000,833,33,0.039615846,1,1,0,4,0,0,11,0,0,0,0,0,0,0,0
velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed #luctus,3860493758225620,2020-06-23 12:18 +0000,1082,15,0.013863216,0,4,3,2,0,0,6,0,0,0,0,0,0,160,0
vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient #risus,6560334815365900,2020-06-22 20:52 +0000,1179,9,0.007633588,0,0,5,2,0,0,2,0,0,0,0,0,0,0,0
amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus #nisi,7553444014993990,2020-06-22 18:40 +0000,883,12,0.013590034,0,0,8,2,0,0,2,0,0,0,0,0,0,0,0
phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula #venenatis,3967919170884450,2020-06-22 18:03 +0000,91,1,0.010989011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a #nulla,4243916692110330,2020-06-22 18:01 +0000,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque #morbi,3036794571404510,2020-06-22 14:44 +0000,1731,4,0.002310803,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac #eget,260754155042952,2020-06-22 14:03 +0000,496,21,0.04233871,1,2,4,0,12,0,2,0,0,0,0,0,0,0,0
sit amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus #quisque,9573716018760390,2020-06-22 13:52 +0000,166,1,0.006024096,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam #tempus,7515896564886560,2020-06-22 13:45 +0000,113,9,0.079646018,0,1,0,2,0,0,0,0,0,0,0,0,0,6,6
quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum #pharetra,6802431319504940,2020-06-22 13:44 +0000,162,5,0.030864198,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0
